Time stamp,Power,avg_temp
1680470644.481389, 0.0, 41.856
1680470644.681651, 4.263, 41.856
1680470644.8820138, 4.263, 41.856
1680470645.082374, 4.263, 41.856
1680470645.2827868, 4.263, 41.856
1680470645.4831276, 4.263, 41.856
1680470645.6834898, 4.263, 40.78
1680470645.8838394, 4.263, 41.856
1680470646.084179, 4.263, 42.394
1680470646.2845137, 4.263, 42.394
1680470646.484857, 4.263, 42.394
1680470646.6852114, 4.256, 42.394
1680470646.8856006, 4.256, 42.932
1680470647.086277, 4.256, 42.394
1680470647.2867036, 4.256, 42.394
1680470647.487034, 4.256, 42.932
1680470647.6873753, 4.267, 41.856
1680470647.8877087, 4.267, 42.932
1680470648.088061, 4.267, 42.394
1680470648.2884777, 4.267, 42.394
1680470648.4888074, 4.267, 42.932
1680470648.6891613, 4.26, 42.932
1680470648.8895237, 4.26, 42.932
1680470649.089891, 4.26, 42.932
1680470649.290303, 4.26, 42.932
1680470649.4907036, 4.26, 42.932
1680470649.691034, 4.263, 42.932
1680470649.891373, 4.263, 42.932
1680470650.0917141, 4.263, 42.932
1680470650.2920752, 4.263, 42.932
1680470650.4924169, 4.263, 43.47
1680470650.6927629, 4.263, 42.932
1680470650.8931153, 4.263, 42.932
1680470651.0934715, 4.263, 43.47
1680470651.2940238, 4.263, 43.47
1680470651.4943845, 4.263, 43.47
1680470651.6947646, 4.263, 42.932
1680470651.895089, 4.252, 42.932
1680470652.0954359, 4.252, 42.932
1680470652.2957783, 4.252, 42.932
1680470652.496111, 4.252, 42.932
1680470652.6964536, 4.26, 42.932
1680470652.8968115, 4.26, 43.47
1680470653.0972176, 4.26, 43.47
1680470653.2975643, 4.26, 42.932
1680470653.4979572, 4.26, 43.47
1680470653.6983347, 4.256, 43.47
1680470653.8987732, 4.256, 42.932
1680470654.0992317, 4.256, 43.47
1680470654.299615, 4.256, 43.47
1680470654.4999866, 4.256, 43.47
1680470654.7003224, 4.263, 42.932
1680470654.9006693, 4.263, 42.932
1680470655.1010242, 4.263, 43.47
1680470655.3014152, 4.263, 43.47
1680470655.5017362, 4.263, 43.47
1680470655.7021081, 4.26, 43.47
1680470655.9024727, 4.26, 42.932
1680470656.1027453, 4.26, 42.932
1680470656.3031034, 4.26, 42.932
1680470656.5034373, 4.26, 42.932
1680470656.7037697, 4.263, 42.932
1680470656.9041467, 4.263, 43.47
1680470657.1045024, 4.263, 43.47
1680470657.304868, 4.263, 42.932
1680470657.5052128, 4.263, 43.47
1680470657.7055945, 4.267, 44.008
1680470657.9060063, 4.267, 44.008
1680470658.1063855, 4.267, 44.008
1680470658.3067858, 4.267, 43.47
1680470658.5071278, 4.267, 42.932
1680470658.7074978, 4.263, 44.008
1680470658.907862, 4.263, 43.47
1680470659.1082087, 4.263, 42.932
1680470659.3085675, 4.263, 43.47
1680470659.5089347, 4.263, 43.47
1680470659.7092836, 4.26, 44.008
1680470659.9096284, 4.26, 43.47
1680470660.1099815, 4.26, 44.008
1680470660.3103538, 4.26, 43.47
1680470660.510777, 4.26, 43.47
1680470660.7111197, 4.256, 44.008
1680470660.9114847, 4.256, 44.008
1680470661.1118355, 4.256, 43.47
1680470661.3121915, 4.256, 44.008
1680470661.5125396, 4.256, 44.008
1680470661.7128987, 4.256, 43.47
1680470661.9132752, 4.26, 44.008
1680470662.1136494, 4.26, 43.47
1680470662.3140237, 4.26, 43.47
1680470662.5144203, 4.26, 44.008
1680470662.7147944, 4.263, 43.47
1680470662.9151676, 4.263, 43.47
1680470663.115509, 4.263, 44.008
1680470663.3158388, 4.263, 44.008
1680470663.5161848, 4.263, 43.47
1680470663.7165475, 4.267, 42.932
1680470663.9168859, 4.267, 43.47
1680470664.117331, 4.267, 43.47
1680470664.317663, 4.267, 44.008
1680470664.5180476, 4.267, 44.008
1680470664.7183957, 4.256, 44.008
1680470664.918782, 4.256, 44.008
1680470665.1191082, 4.256, 44.008
1680470665.3194535, 4.256, 44.008
