Pruning Fraction,Test Accuracy,Inference Time [s],Memory [MB],# Params
0.05,74.63,562.12681,82,2902069
0.1,74.63,574.93068,75,2606173
0.2,68.87,455.077857,79,2066884
0.3,62.42,380.6084,79,1588917
0.4,53.55,306.2803,81,1174647
0.5,40.03,270.48708,77,823722
