Time stamp,Power,avg_temp
1680469826.709028, 0.0, 40.78
1680469826.9093564, 0.0, 40.78
1680469827.109685, 0.0, 40.78
1680469827.3100345, 0.0, 40.78
1680469827.510425, 0.0, 40.78
1680469827.710776, 4.302, 40.78
1680469827.9111073, 4.302, 41.856
1680469828.1114683, 4.302, 40.78
1680469828.3118846, 4.302, 40.78
1680469828.5122714, 4.302, 40.78
1680469828.7126005, 4.26, 40.78
1680469828.9129581, 4.26, 40.78
1680469829.1133122, 4.26, 41.318
1680469829.3136828, 4.26, 40.78
1680469829.514015, 4.26, 41.318
1680469829.7144089, 4.271, 41.856
1680469829.9147635, 4.271, 40.78
1680469830.1151085, 4.271, 41.318
1680469830.3154504, 4.271, 40.78
1680469830.5159838, 4.271, 40.78
1680469830.7163498, 4.267, 41.856
1680469830.9167318, 4.267, 41.318
1680469831.1171057, 4.267, 41.318
1680469831.3175209, 4.267, 41.318
1680469831.5178552, 4.267, 41.856
1680469831.7184196, 4.26, 41.856
1680469831.9187672, 4.26, 41.856
1680469832.119118, 4.26, 41.318
1680469832.3194582, 4.26, 41.856
1680469832.519795, 4.26, 41.318
1680469832.7201607, 4.504, 41.856
1680469832.9205122, 4.504, 41.856
1680469833.1209688, 4.504, 42.394
1680469833.3213413, 4.504, 41.856
1680469833.5217013, 4.504, 41.856
1680469833.7220457, 4.267, 41.856
1680469833.9224439, 4.267, 41.856
1680469834.122891, 4.267, 41.318
1680469834.3232427, 4.267, 41.856
1680469834.5238004, 4.267, 41.856
1680469834.7241688, 4.271, 41.856
1680469834.9245973, 4.271, 42.394
1680469835.1249738, 4.271, 42.394
1680469835.3253498, 4.271, 41.856
1680469835.5257237, 4.271, 42.932
1680469835.7261014, 4.26, 41.856
1680469835.9267035, 4.26, 42.394
1680469836.1270387, 4.26, 41.856
1680469836.3274188, 4.26, 41.856
1680469836.5277355, 4.26, 42.394
1680469836.7281137, 4.256, 42.394
1680469836.928482, 4.256, 42.394
1680469837.1289415, 4.256, 42.932
1680469837.329517, 4.256, 42.932
1680469837.5298526, 4.256, 41.856
1680469837.7302616, 4.344, 41.856
1680469837.9306624, 4.344, 42.932
1680469838.13099, 4.344, 41.856
1680469838.3313403, 4.344, 41.856
1680469838.5316954, 4.344, 42.394
1680469838.7320547, 4.267, 41.856
1680469838.9324071, 4.267, 42.932
1680469839.1327434, 4.267, 41.856
1680469839.3331282, 4.267, 42.394
1680469839.533539, 4.267, 42.394
1680469839.7341301, 4.267, 42.394
1680469839.9347255, 4.267, 42.394
1680469840.1350713, 4.267, 42.932
1680469840.3354945, 4.267, 42.394
1680469840.535847, 4.267, 43.47
1680469840.7361784, 4.275, 42.932
1680469840.936523, 4.275, 42.394
1680469841.1369095, 4.275, 42.394
1680469841.3373249, 4.275, 42.932
1680469841.5376983, 4.275, 42.932
1680469841.7381132, 4.263, 42.932
1680469841.9384844, 4.263, 42.394
1680469842.138796, 4.263, 41.856
1680469842.3391337, 4.263, 42.932
1680469842.5394692, 4.263, 42.932
1680469842.7397983, 4.263, 42.932
1680469842.94014, 4.263, 42.932
1680469843.140639, 4.263, 43.47
1680469843.3410208, 4.263, 42.932
1680469843.5413907, 4.263, 42.932
1680469843.7417383, 4.271, 42.932
1680469843.9421413, 4.271, 42.932
1680469844.1425433, 4.271, 43.47
1680469844.3428323, 4.271, 42.932
1680469844.5432081, 4.271, 42.932
1680469844.743557, 4.26, 42.932
1680469844.9439309, 4.26, 42.932
1680469845.1442723, 4.26, 42.932
1680469845.3446262, 4.26, 42.932
1680469845.5449717, 4.26, 42.932
1680469845.7453346, 4.271, 42.932
1680469845.9456837, 4.271, 43.47
1680469846.1460629, 4.271, 42.932
1680469846.3464525, 4.271, 42.932
1680469846.5468016, 4.271, 42.932
1680469846.7471604, 4.275, 42.932
1680469846.9475172, 4.275, 42.932
1680469847.1478791, 4.275, 43.47
1680469847.3482606, 4.275, 42.932
1680469847.5486004, 4.275, 42.932
1680469847.7489588, 4.267, 43.47
1680469847.9493196, 4.267, 42.932
1680469848.1496668, 4.267, 42.932
1680469848.3500354, 4.267, 42.394
1680469848.5504022, 4.267, 42.932
1680469848.7507913, 4.271, 42.394
1680469848.9512343, 4.271, 42.932
1680469849.1516323, 4.271, 42.932
1680469849.351979, 4.271, 43.47
1680469849.5523798, 4.271, 42.932
1680469849.7527268, 4.271, 42.932
1680469849.953099, 4.271, 43.47
1680469850.153447, 4.271, 42.932
1680469850.3538542, 4.271, 42.932
1680469850.554199, 4.271, 43.47
1680469850.7545462, 4.26, 43.47
1680469850.9547296, 4.26, 43.47
1680469851.1551018, 4.26, 42.932
1680469851.3554575, 4.26, 43.47
1680469851.5558262, 4.26, 43.47
1680469851.7561605, 4.275, 43.47
1680469851.956531, 4.275, 43.47
1680469852.1568787, 4.275, 42.932
1680469852.3572202, 4.275, 43.47
1680469852.5578084, 4.275, 42.932
1680469852.7582593, 4.275, 42.932
1680469852.9586725, 4.275, 43.47
1680469853.1590075, 4.275, 43.47
1680469853.3595312, 4.275, 42.932
1680469853.559888, 4.275, 43.47
1680469853.7602375, 4.271, 42.932
1680469853.9605978, 4.271, 43.47
1680469854.1610096, 4.271, 42.932
1680469854.3613951, 4.271, 42.932
1680469854.5617454, 4.271, 43.47
1680469854.7621622, 4.279, 42.932
1680469854.962572, 4.279, 42.932
1680469855.1629138, 4.279, 43.47
1680469855.3632493, 4.279, 44.008
1680469855.5635881, 4.279, 42.932
1680469855.763922, 4.275, 42.932
1680469855.964305, 4.275, 43.47
1680469856.1646593, 4.275, 43.47
1680469856.3650076, 4.275, 43.47
1680469856.5654159, 4.275, 43.47
1680469856.7658293, 4.267, 43.47
1680469856.9661744, 4.267, 42.932
1680469857.1665356, 4.267, 43.47
1680469857.3667648, 4.267, 42.932
1680469857.5671074, 4.267, 44.008
1680469857.7676172, 4.26, 43.47
1680469857.968021, 4.26, 44.008
1680469858.1683471, 4.26, 43.47
1680469858.3686998, 4.26, 43.47
1680469858.5690448, 4.26, 43.47
1680469858.7694154, 4.271, 43.47
1680469858.9697945, 4.271, 42.932
1680469859.170139, 4.271, 43.47
1680469859.3704846, 4.271, 42.932
1680469859.5710359, 4.271, 42.932
1680469859.771368, 4.263, 42.932
1680469859.9718766, 4.263, 43.47
1680469860.1722143, 4.263, 43.47
1680469860.3725672, 4.263, 43.47
1680469860.5729396, 4.263, 44.008
1680469860.773424, 4.267, 44.008
1680469860.9737816, 4.267, 43.47
1680469861.1741633, 4.267, 43.47
1680469861.374536, 4.267, 43.47
1680469861.5748487, 4.267, 44.008
1680469861.7751808, 4.263, 43.47
1680469861.9755163, 4.263, 43.47
1680469862.175862, 4.263, 43.47
1680469862.3762095, 4.263, 43.47
1680469862.5765667, 4.263, 44.008
1680469862.7769446, 4.263, 43.47
1680469862.9773078, 4.263, 42.932
1680469863.177684, 4.263, 44.008
1680469863.3780618, 4.263, 42.932
1680469863.5784364, 4.263, 43.47
1680469863.7787468, 4.271, 43.47
1680469863.9790738, 4.271, 44.008
1680469864.1794293, 4.271, 43.47
1680469864.3797796, 4.271, 44.008
1680469864.580148, 4.271, 43.47
1680469864.7804878, 4.279, 42.932
1680469864.980835, 4.279, 43.47
1680469865.181237, 4.279, 42.932
1680469865.381599, 4.279, 43.47
1680469865.5819907, 4.279, 42.932
1680469865.7823572, 4.279, 43.47
1680469865.9827902, 4.279, 44.008
1680469866.1831946, 4.279, 43.47
1680469866.3835433, 4.279, 43.47
1680469866.5840223, 4.279, 43.47
1680469866.7845569, 4.271, 44.008
1680469866.9849072, 4.271, 44.008
1680469867.1852496, 4.271, 44.008
1680469867.385612, 4.271, 43.47
1680469867.5859494, 4.271, 44.008
1680469867.7863066, 4.279, 44.008
1680469867.987197, 4.279, 44.008
1680469868.1875362, 4.279, 44.008
1680469868.3878744, 4.279, 44.008
1680469868.5882368, 4.279, 44.008
1680469868.7886207, 4.263, 44.008
1680469868.989069, 4.263, 44.008
1680469869.1894534, 4.263, 43.47
1680469869.389794, 4.263, 43.47
1680469869.5901444, 4.263, 43.47
1680469869.79052, 4.275, 43.47
1680469869.990762, 4.275, 44.008
1680469870.1911547, 4.275, 44.008
1680469870.3915038, 4.275, 43.47
1680469870.5918672, 4.275, 44.008
1680469870.7924654, 4.286, 44.008
1680469870.9928932, 4.286, 44.008
1680469871.1932507, 4.286, 43.47
1680469871.3936129, 4.286, 44.008
1680469871.593958, 4.286, 44.008
1680469871.7943127, 4.271, 44.008
1680469871.9947276, 4.271, 44.008
1680469872.1950753, 4.271, 43.47
1680469872.3954432, 4.271, 44.008
1680469872.595781, 4.271, 44.008
1680469872.7961354, 4.275, 44.008
1680469872.996571, 4.275, 44.008
1680469873.1969116, 4.275, 44.008
1680469873.397268, 4.275, 44.008
1680469873.597702, 4.275, 44.008
1680469873.7981706, 4.275, 44.546
1680469873.9985223, 4.275, 44.008
1680469874.1989274, 4.275, 44.008
1680469874.3992734, 4.275, 44.008
1680469874.599606, 4.275, 44.008
1680469874.8001754, 4.271, 44.008
1680469875.0004973, 4.271, 44.008
1680469875.2008646, 4.271, 44.546
1680469875.401286, 4.271, 44.008
1680469875.6016505, 4.271, 44.008
1680469875.8022406, 4.283, 44.008
1680469876.0025914, 4.283, 44.008
1680469876.2030668, 4.283, 44.008
1680469876.4034247, 4.283, 44.008
1680469876.6037989, 4.283, 43.47
1680469876.8041525, 4.275, 45.084
1680469877.0045, 4.275, 44.008
1680469877.2048638, 4.275, 44.546
1680469877.4052188, 4.275, 44.546
1680469877.6055713, 4.275, 44.008
1680469877.8059173, 4.275, 44.008
1680469878.0063143, 4.275, 44.546
1680469878.2067487, 4.275, 44.008
1680469878.407077, 4.275, 44.546
1680469878.6074247, 4.275, 44.008
1680469878.8077893, 4.275, 43.47
1680469879.0081522, 4.275, 44.008
1680469879.2085087, 4.275, 44.008
1680469879.4088583, 4.275, 43.47
1680469879.6092339, 4.275, 43.47
1680469879.809628, 4.275, 44.008
1680469880.0100014, 4.275, 44.008
1680469880.2103534, 4.275, 44.008
1680469880.410753, 4.275, 44.008
1680469880.6110933, 4.275, 44.008
1680469880.8114445, 4.267, 44.008
1680469881.011798, 4.267, 44.546
1680469881.212177, 4.267, 44.008
1680469881.4125473, 4.267, 44.008
1680469881.6128871, 4.267, 44.008
1680469881.8132586, 4.271, 44.546
1680469882.0136704, 4.271, 44.008
1680469882.214026, 4.271, 43.47
1680469882.4143624, 4.271, 44.008
1680469882.6148543, 4.271, 44.008
1680469882.8151827, 4.275, 44.008
1680469883.0155466, 4.275, 44.546
1680469883.2159212, 4.275, 44.008
1680469883.4162765, 4.275, 44.546
1680469883.616624, 4.275, 44.008
1680469883.816994, 4.271, 44.546
1680469884.0173748, 4.271, 44.008
1680469884.217759, 4.271, 44.008
1680469884.4181168, 4.271, 44.008
1680469884.6184745, 4.271, 44.008
1680469884.8187432, 4.313, 44.546
1680469885.0191271, 4.313, 44.008
1680469885.2194672, 4.313, 44.008
1680469885.4198103, 4.313, 44.008
1680469885.620149, 4.313, 44.546
1680469885.820594, 4.275, 44.546
1680469886.0210066, 4.275, 44.546
1680469886.221384, 4.275, 44.008
1680469886.4217718, 4.275, 44.008
1680469886.6221685, 4.275, 44.008
1680469886.8225417, 4.263, 44.546
1680469887.0228226, 4.263, 44.008
1680469887.2231774, 4.263, 44.008
1680469887.4235065, 4.263, 44.008
1680469887.6238763, 4.263, 44.546
1680469887.8242202, 4.263, 44.546
1680469888.024645, 4.263, 44.546
1680469888.2249901, 4.263, 44.546
1680469888.425374, 4.263, 44.008
1680469888.6257598, 4.263, 44.546
1680469888.8261526, 4.275, 44.546
1680469889.0265296, 4.275, 44.546
1680469889.2267435, 4.275, 44.546
1680469889.4270852, 4.275, 44.546
1680469889.6275587, 4.275, 44.546
1680469889.8279152, 4.271, 44.008
1680469890.028253, 4.271, 44.008
1680469890.2286096, 4.271, 44.008
1680469890.42897, 4.271, 44.546
1680469890.6293414, 4.271, 44.546
1680469890.8297708, 4.263, 44.546
1680469891.0301344, 4.263, 44.546
1680469891.2305043, 4.263, 44.546
1680469891.4307392, 4.263, 44.546
1680469891.6311033, 4.263, 44.008
1680469891.8316019, 4.263, 44.546
1680469892.0319417, 4.263, 44.546
1680469892.2322814, 4.263, 44.008
1680469892.4327164, 4.263, 44.546
1680469892.6331208, 4.263, 44.546
1680469892.8334625, 4.263, 44.546
1680469893.0338478, 4.263, 44.008
1680469893.2343369, 4.263, 44.546
1680469893.4347577, 4.263, 44.008
1680469893.6351047, 4.263, 44.008
1680469893.8354764, 4.275, 44.008
1680469894.0358615, 4.275, 44.008
1680469894.2362204, 4.275, 44.008
1680469894.4365683, 4.275, 44.008
1680469894.6369524, 4.275, 44.008
1680469894.8373168, 4.275, 44.546
1680469895.0376568, 4.275, 44.008
1680469895.2379844, 4.275, 44.008
1680469895.4383037, 4.275, 44.546
1680469895.6386745, 3.996, 44.008
1680469895.8390071, 3.996, 44.008
1680469896.039355, 3.996, 44.008
1680469896.2396836, 3.996, 44.008
1680469896.4400113, 3.996, 44.546
1680469896.640335, 4.0, 44.008
1680469896.840642, 4.0, 44.008
1680469897.0409641, 4.0, 44.008
1680469897.2413151, 4.0, 44.008
1680469897.4416606, 4.0, 44.008
1680469897.6419847, 4.0, 43.47
1680469897.8424368, 4.0, 44.008
1680469898.0429947, 4.0, 44.008
1680469898.243325, 4.0, 43.47
1680469898.4439356, 4.0, 44.008
1680469898.6442978, 3.962, 44.008
1680469898.844653, 3.962, 44.008
1680469899.045, 3.962, 44.008
1680469899.2453737, 3.962, 43.47
1680469899.445747, 3.962, 44.008
1680469899.6460912, 3.962, 44.008
1680469899.8464699, 4.004, 44.008
1680469900.0468056, 4.004, 43.47
1680469900.247139, 4.004, 44.008
1680469900.4474955, 4.004, 44.008
1680469900.647842, 4.0, 44.008
1680469900.8483558, 4.0, 43.47
1680469901.048689, 4.0, 44.008
1680469901.2490988, 4.0, 44.008
1680469901.4494433, 4.0, 44.008
1680469901.649793, 3.996, 43.47
1680469901.8501341, 3.996, 44.008
1680469902.0504718, 3.996, 44.008
1680469902.250902, 3.996, 44.008
1680469902.4512517, 3.996, 43.47
1680469902.651919, 3.973, 44.008
1680469902.8522642, 3.973, 44.008
1680469903.0526218, 3.973, 44.008
1680469903.2529738, 3.973, 43.47
1680469903.4533484, 3.973, 44.008
1680469903.6539757, 4.004, 44.008
1680469903.854338, 4.004, 43.47
1680469904.054874, 4.004, 44.008
1680469904.2552145, 4.004, 44.008
1680469904.4555683, 4.004, 44.008
1680469904.6559098, 4.008, 43.47
1680469904.8565392, 4.008, 44.008
1680469905.0569434, 4.008, 44.008
1680469905.257283, 4.008, 44.008
1680469905.4576635, 4.008, 44.008
1680469905.6580005, 3.996, 44.008
1680469905.8584385, 3.996, 44.008
1680469906.0588377, 3.996, 44.008
1680469906.2592046, 3.996, 44.008
1680469906.4595537, 3.996, 44.008
1680469906.6599004, 3.996, 44.008
1680469906.860251, 3.996, 43.47
1680469907.0606387, 3.996, 44.008
1680469907.2612278, 3.996, 44.008
1680469907.4615598, 3.996, 44.008
1680469907.661916, 4.015, 44.008
1680469907.8622444, 4.015, 44.008
1680469908.0627532, 4.015, 43.47
1680469908.263241, 4.015, 43.47
1680469908.463573, 4.015, 44.008
1680469908.66391, 4.034, 44.008
1680469908.8642488, 4.034, 42.932
1680469909.0646536, 4.034, 44.546
1680469909.2650003, 4.034, 44.008
1680469909.4655366, 4.034, 44.008
1680469909.6659095, 4.034, 44.008
1680469909.866282, 4.321, 44.008
1680469910.0667653, 4.321, 44.008
1680469910.2670927, 4.321, 44.008
1680469910.4674256, 4.321, 44.008
1680469910.6677618, 4.263, 44.546
1680469910.8681858, 4.263, 44.546
1680469911.0686214, 4.263, 44.546
1680469911.2690434, 4.263, 44.008
1680469911.4694364, 4.263, 44.008
1680469911.6698112, 4.271, 44.546
1680469911.8701572, 4.271, 44.008
1680469912.0705116, 4.271, 44.008
1680469912.2707553, 4.271, 44.546
1680469912.47109, 4.271, 44.546
1680469912.6714816, 4.271, 44.546
1680469912.8718367, 4.263, 44.008
1680469913.0722256, 4.263, 44.546
1680469913.2725542, 4.263, 44.008
1680469913.4729276, 4.263, 44.008
1680469913.6732738, 4.252, 44.008
1680469913.8736537, 4.252, 44.546
1680469914.074012, 4.252, 44.008
1680469914.2744093, 4.252, 44.008
1680469914.4748008, 4.252, 44.008
1680469914.675168, 4.279, 44.546
1680469914.8755405, 4.279, 44.008
1680469915.0758939, 4.279, 44.008
1680469915.2762344, 4.279, 44.546
1680469915.4765797, 4.279, 44.546
1680469915.6769207, 4.263, 45.084
1680469915.8772538, 4.263, 45.084
1680469916.077605, 4.263, 44.546
1680469916.2779837, 4.263, 45.084
1680469916.478501, 4.263, 44.008
1680469916.678787, 4.263, 44.546
1680469916.8791273, 4.263, 44.546
1680469917.0795126, 4.263, 44.546
1680469917.2798605, 4.263, 44.008
1680469917.4802263, 4.263, 45.084
1680469917.6805613, 4.267, 44.546
1680469917.8809056, 4.267, 44.008
1680469918.0812793, 4.267, 44.546
1680469918.2816303, 4.267, 45.084
1680469918.4819849, 4.267, 44.008
1680469918.6823266, 4.263, 44.546
1680469918.88274, 4.263, 44.546
1680469919.0830777, 4.263, 44.008
1680469919.2835753, 4.263, 44.546
1680469919.483943, 4.263, 45.084
1680469919.684289, 4.263, 44.546
1680469919.8846662, 4.263, 44.546
1680469920.085215, 4.263, 44.546
1680469920.2855577, 4.263, 45.084
1680469920.4859416, 4.263, 45.084
1680469920.6863127, 4.275, 44.546
1680469920.886771, 4.275, 44.008
1680469921.087101, 4.275, 44.546
1680469921.2874396, 4.275, 44.546
1680469921.4878707, 4.275, 44.546
1680469921.6881974, 4.26, 44.546
1680469921.8885345, 4.26, 44.546
1680469922.0888941, 4.26, 45.084
1680469922.2892942, 4.26, 44.008
1680469922.4897685, 4.26, 44.546
1680469922.6901462, 4.256, 45.084
1680469922.8904853, 4.256, 45.084
1680469923.0908306, 4.256, 45.084
1680469923.2911572, 4.256, 45.084
1680469923.4915328, 4.256, 44.546
1680469923.691919, 4.267, 44.546
1680469923.892253, 4.267, 45.084
1680469924.0926082, 4.267, 44.008
1680469924.293014, 4.267, 44.008
1680469924.4933944, 4.267, 44.546
1680469924.6937518, 4.26, 44.546
1680469924.8940861, 4.26, 45.084
1680469925.0944378, 4.26, 44.546
1680469925.2948365, 4.26, 45.084
